0,1,0
0.22501,0.83592,0.038377
0.45001,0.79257,0.046737
0.67502,0.74161,0.054428
0.90003,0.70191,0.060321
1.125,0.65654,0.072181
1.35,0.58136,0.079052
1.5751,0.54919,0.093285
1.8001,0.47212,0.085871
2.0251,0.4228,0.10728
2.2501,0.37722,0.10239
2.4751,0.321,0.10584
2.7001,0.25008,0.10538
2.9251,0.20836,0.098632
3.1501,0.13749,0.1025
3.3751,0.087267,0.092013
3.6001,0.043786,0.095807
3.8251,0.029926,0.090683
4.0501,-0.026208,0.10218
4.2751,-0.078431,0.11035
4.5001,-0.11297,0.10905
4.7252,-0.10433,0.099599
4.9502,-0.10098,0.087913
5.1752,-0.1253,0.088196
5.4002,-0.1304,0.084592
5.6252,-0.12219,0.080003
5.8502,-0.11001,0.072973
6.0752,-0.12124,0.072355
