0,1,0
0.27517,0.94116,0.0082484
0.55034,0.89234,0.015278
0.82551,0.83322,0.019808
1.1007,0.76131,0.024587
1.3758,0.67837,0.030645
1.651,0.59204,0.038059
1.9262,0.50883,0.045065
2.2014,0.43133,0.04734
2.4765,0.35245,0.051105
2.7517,0.28374,0.052786
3.0269,0.22004,0.053912
3.302,0.17143,0.058922
3.5772,0.12945,0.057601
3.8524,0.099433,0.056564
4.1275,0.076495,0.05864
4.4027,0.058866,0.057423
4.6779,0.0441,0.05818
4.9531,0.037617,0.053401
5.2282,0.032892,0.051127
5.5034,0.032304,0.050533
5.7786,0.043679,0.050547
6.0537,0.055445,0.048351
6.3289,0.069294,0.04624
6.6041,0.077103,0.039541
6.8792,0.079063,0.033867
7.1544,0.076145,0.032366
7.4296,0.073742,0.032713
7.7048,0.068152,0.032864
7.9799,0.056372,0.027614
8.2551,0.048161,0.022269
8.5303,0.037965,0.016271
8.8054,0.027504,0.0081613
9.0806,0.01183,0.0058292
9.3558,0.0026319,0.0084261
9.6309,-0.0042598,0.00914
9.9061,-0.00875,0.010702
10.181,-0.0083167,0.010468
10.456,-0.0064575,0.011656
